"2023
KShs ‘000","2022
KShs ‘000","2023 KShs
‘000"
"95,315","127,072","95,315"
"197,577","130,805","197,577"
"76,939","65,518","76,939"
-,"(49,454)",-
"397,177","294,168","395,354"
"767,008","568,109","765,185"
