"2025
KShs ‘000","2024
KShs ‘000","2025
KShs ‘000"
"6,241,168","12,347,634","6,241,168"
"3,782,179","4,166,406","3,782,179"
"1,547,695","15,825,509","1,547,695"
"740,884","1,157,643","740,884"
"(1,280,365)","(306,864)","(1,280,365)"
"24,646,354","39,468,625","25,798,044"
"35,677,915","72,658,953","36,829,605"
