"Weighted
average
effective
interest
rate (%)","Up to 1
month","1 – 3
months","3 – 12
months",1 – 5 years,"Over 5
years","Non-interest
bearing",Total
-,-,-,-,-,-,"23,700,451","23,700,451"
11.70,-,-,157,"660,486","3,920,065","20,659","4,601,367"
-,-,-,-,-,-,"465,879","465,879"
4.20,"2,197,568",-,-,-,-,"231,483","2,429,051"
9.30,"34,705,086","6,375,356","11,145,612","42,092,296","31,656,240",-,"125,974,590"
10.20,"2,493,516","13,844,984","26,680,918","33,709,100","14,286,387",-,"91,014,905"
-,-,-,-,-,-,"585,681","585,681"
1.30,"23,810,098","13,350,096","13,599,434","7,600,000",-,"13,944,040","72,303,668"
,"63,206,268","33,570,436","51,426,121","84,061,882","49,862,692","38,948,193","321,075,592"
0.20,"383,214",-,-,-,-,-,"383,214"
3.30,"61,911,629","6,878,797","10,741,706","539,695","6,129","185,391,158","265,469,114"
-,-,-,-,-,-,"359,808","359,808"
-,-,-,-,-,-,"650,718","650,718"
0.20,"753,319",-,"330,263","6,789,000",-,"2,842,154","10,714,736"
,"63,048,162","6,878,797","11,071,969","7,328,695","6,129","189,243,838","277,577,590"
,"158,106","26,691,639","40,354,152","76,733,187","49,856,563","(150,295,645)","43,498,002"
