Definition,Column,Risk Sub-type
"ecnanrevoG
etaroproC","Corporate
governance and
authorities
Exchange listing
rules","Potential for loss due to non-compliance with
relevant laws, regulations, ordinances or market
guidance (which a Group entity would customarily
comply with) relating to an entity’s board, directors,
members and shareholders.
Potential for loss due to non-compliance with laws
or stock exchange rules for a listed Group entity."
"gnitropeR snoitagilbO
dna","Financial books
and records","Potential for loss or adverse impact due to failure to
comply with laws and regulations for financial books
and records."
,Tax Obligations,"Potential for loss or adverse impact due to failure to
comply with laws and regulations for tax."
Model,,"Potential for loss or adverse impact due to incorrect
design or use of models."
Safety and security,,"Potential for loss or damage due to failure to create a
safe, secure, and healthy environment for staff and
clients. This risk considers both the protection of
property and physical assets, health and safety
standards, and resilience requirements."
Legal enforceability,,"The potential for loss due to difficulty in enforcing the
Group's and Company’s contractual rights."
