"Number of
shares
('000)",%
"279,195",73.89
"3,884",1.03
"3,228",0.85
"2,783",0.74
"2,507",0.66
"1,883",0.50
"1,631",0.43
"1,597",0.42
"1,269",0.34
"1,000",0.26
"78,874",20.88
"377,851",100.00
