At 1 January,"Recognised in the
income
statement
current year","Recognised in
other
comprehensive
income",At 31 December
KShs‘000,KShs‘000,KShs‘000,KShs‘000
"133,615","15,213",-,"148,828"
"(5,158)","5,158",-,-
"761,215","(198,922)",-,"562,293"
"580,068","357,845",-,"937,913"
"91,893","(91,893)",-,-
"(336,108)","4,427",-,"(331,681)"
"(129,172)",-,"570,107","440,935"
"79,732","8,537",-,"88,269"
"141,490","52,928",-,"194,418"
"1,085,101","843,580","28,972","1,957,653"
"14,491","(2,699)","17,136","28,928"
"2,417,167","994,174","616,215","4,027,556"
