"2022
KShs‘000","2021
KShs‘000","2022
KShs‘000"
"96,127,601","72,005,545","96,608,538"
"(6,415)","(13,617)","(6,415)"
"96,121,186","71,991,928","96,602,123"
"12,717,385","9,631,154","12,717,385"
-,-,"742,280"
"12,717,385","9,631,154","13,459,665"
