"2023
KShs ‘000","2022
KShs ‘000","2023
KShs ‘000",Column
"13,835,467","12,057,935","13,917,230",
788,"(57,121)",788,"(57,121)"
(236),"17,136",(236),"17,136"
"(23,400)",–,"(23,400)",–
"2,520",–,"2,520",–
"(237,764)",–,"(237,764)",–
"71,329",-,"71,329",-
"68,987",–,"68,987",–
"(20,696)",–,"(20,696)",–
"(138,472)","(39,985)","(138,472)",
"(3,281,903)","(1,732,592)","(3,281,903)","(1,732,592)"
"984,571","519,777","984,571","519,777"
"3,230,494","(167,769)","3,230,494","(167,769)"
"(969,148)","50,330","(969,148)","50,330"
"262,390","(96,375)","262,390","(96,375)"
"(42,789)",(195),"(42,789)",(195)
"(65,880)","28,972","(65,880)","28,972"
"117,735","(1,397,852)","117,735",
"(20,737)","(1,437,837)","(20,737)",
"13,814,730","10,620,098","13,896,493",
