2025,Column,Column,Column,Column
"At 1 January
KShs ‘000","Prior year
adjustment
KShs ‘000","Recognised in the
income statement
current year
KShs ‘000","Recognised in
other
comprehensive
income
KShs ‘000","At 31 December
KShs ‘000"
"(226,024)","(20,638)","(333,192)",–,"(579,854)"
"623,169","64,294","120,939",–,"808,402"
"1,432,522","240,676","(81,510)",–,"1,591,688"
"(28,793)",–,"(211,499)",–,"(240,292)"
"(241,906)",–,"241,906",–,–
"(492,816)",–,"19,493","323,343","(149,980)"
"32,573",–,487,–,"33,060"
"163,911",,"(16,655)",–,"147,256"
"3,126",,(896),–,"2,230"
"1,106,165","35,575","224,080",–,"1,365,820"
"10,188",–,"12,565","(22,753)",–
"2,382,115","319,907","(24,282)","300,590","2,978,330"
