"Leasehold
land","Office
premises","IT
equipment",Total
Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
"54,612","621,079","219,903","895,594"
,"(25,130)",-,"(25,130)"
"404,292",-,-,"404,292"
"(270,000)",-,-,"(270,000)"
"188,904","595,949","219,903","1,004,756"
"(12,894)","(354,096)","(72,115)","(439,105)"
"(3,278)","(54,577)","(20,931)","(78,786)"
"5,748",-,-,"5,748"
"(10,424)","(408,673)","(93,046)","(512,143)"
"178,480","187,276","126,857","492,613"
