Column,Stage 1,Stage 2,Stage 3,Total
,"12-month
ECL","Lifetime ECL
Not credit
impaired",Lifetime ECL,
,Shs’000,Shs’000,Shs’000,Shs’000
,"124,595","131,715","3,383,399","3,639,709"
"Transfer to 12 months ECL
Transfer to lifetime ECL not credit impaired
Transfer to lifetime ECL credit impaired
Net remeasurement of loss allowance
Net financial assets originated
Financial assets derecognised
Loss allowance as at 31 December","284,787","(84,025)","(200,762)",-
,(663),"269,630","(268,967)",-
,(16),"(6,546)","6,562",-
,"(292,743)","(163,125)","1,032,377","576,509"
,"26,022","11,410",-,"37,432"
,"(5,774)","(4,623)","(256,800)","(267,197)"
,"136,208","154,436","3,695,809","3,986,453"
