Column,Column,Bank,Column,Column,Column,Group Consolidated,Column
,,30.09.2015,31.12.2015 31.03.2,016 30.06.2016,30.09.2016,30.09.2015 31.1,2.2015 30.09.2016
III,DISCLOSURES,Unaudited,Audited UnAudi,ted UnAudited,UnAudited,Unaudited Au,dited UnAudited
,AS AT 30 SEPTEMBER 2016,(Ksh’000),(Ksh’000) (Ksh’0,00) (Ksh’000),(Ksh’000),(Ksh’000) (Ks,h’000) (Ksh’000)
,,,,,"5,547,000",,
,,,,,"851,189",,
,,,,,"4,695,810",,
,,,,,"1,252,460",,
,,,,,"3,443,351",,
,,,,,"3,443,351",,
,,,,,-,,
,,,,,"541,682",,
,,,,,"1,086,842",,
,,,,,"1,628,524",,
,,,,,"495,400",,
,,,,,-,,
,,,,,"495,400",,
,,,,,"8,155,193",,
,,,,,"1,000,000",,
,,,,,"7,155,193",,
,,,,,"1,150,715",,
,,,,,"9,305,908",,
,,,,,"54,749,910",,
,,,,,19.18%,,
,,,,,8.00%,,
,,,,,11.18%,,
,,,,,14.90%,,
,,,,,10.50%,,
,,,,,4.40%,,
,,,,,17.00%,,
,,,,,14.50%,,
,,,,,2.50%,,
,,,,,23.84%,,
,,,,,20.00%,,
,,,,,3.84%,,
