Directors fees and sitting allowances,Policy framework
"To attract and retain non-executive directors of the highest
calibre and having the necessary skills and expertise to
exercise independent judgement on issues that promote
the Group’s objectives.","The director’s fees and sitting allowances paid to non-
executive directors are determined by the Board of
Directors, with recommendations from the Group
Nomination and Governance Committee."
,"Members of the various committees are also eligible to
receive an additional sitting allowance."
,"The fees payable are reviewed periodically by the Group
Nomination and Governance Committee to ensure that
the fees remain competitive and in line with remuneration
of other non-executive directors in the industry. Time
commitment and responsibility are also taken into
account when reviewing fees."
,"Travel and expenses for non-executive Directors for
Group related assignments are all met by the Group."
