Title,Effective date,Key requirements
"Narrow scope
amendments to IAS 1
‘Presentation of Financial
Statements’, Practice
statement 2 and IAS 8
‘Accounting Policies,
Changes in Accounting
Estimates and Errors’","Annual periods
beginning on or after 1
January 2023.
(Published February
2021)","The amendments aim to improve
accounting policy disclosures and to
help users of the financial statements
to distinguish changes in accounting
policies from changes in accounting
estimates."
"Amendments to IAS 12,
Income Taxes: Deferred
Tax related to Assets and
Liabilities arising from a
Single Transaction","Annual periods
beginning on or after
1 January 2023.
(Published May 2021)","The amendments require companies to
recognise deferred tax on transactions
that, on initial recognition, give rise to
equal amounts of taxable and deductible
temporary differences."
"Amendments to IAS
12 International Tax
Reform—Pillar Two
Model Rules","The deferred tax
exemption and
disclosure of the fact that
the exception has been
applied, is effective
immediately. The other
disclosure requirements
are effective annual
periods beginning on or
after 1 January 2023.
(Published May 2023)","These amendments give companies
temporary relief from accounting
for deferred taxes arising from the
Organisation for Economic Co-
operation and Development’s
(OECD) international tax reform. The
amendments also introduce targeted
disclosure requirements for affected
companies."
