"Board meetings attendance for the year
ended 31 December 2015",Board meetings,Column,Column,Column,Total attendance
Date,24/3,21/4,21/7,24/10,
Steve Mainda,ü,ü,ü,ü,4
David R. Ansell*,ü,ü,N/A,N/A,2
Benson Wairegi,ü,ü,ü,ü,4
Peter Munga,ü,ü,X,ü,3
Shem Migot - Adholla*,ü,ü,N/A,N/A,2
Adan D Mohamed,ü,ü,ü,ü,4
Frank Ireri,ü,ü,ü,ü,4
Gladys Ogallo **,ü,ü,ü,N/A,3
Constance Gakonyo,ü,ü,X,ü,3
Kaushik Manek***,N/A,N/A,ü,ü,2
