"Item
No.",Resolutions:,For,Against,Withheld
1),"To receive and, if approved, adopt the audited Balance
Sheet and Accounts for the year ended 31 December 2023,
together with the Chairman’s, the Directors’ and Auditor’s
Reports thereon.",,,
2),"In accordance with Article 105 of the Company’s Articles
of Association the following Directors retire by rotation and
being eligible, offer themselves for re-election.",,,
3),• Prof. Olive M. Mugenda,,,
,• Dr. Benson I. Wairegi,,,
,• Dr. Antony O. Omerikwa,,,
4),"In accordance with Article 104 of the Company’s Articles of
Association Mr.Tom M. Gitogo retires at this meeting, and
being eligible, offers herself for re-election.",,,
