"2011
KShs’000
3,464,079
(1,562,517)"
"1,901,562
(186,297)"
"1,715,265
291,619
(1,031,089)"
"975,795
(353,517)"
"622,278
(34,000)
63,129"
"651,407"
KShs 2.70
