Item No.,Resolutions:,For,Against,Withheld
1),"To receive and, if approved, adopt the audited Balance Sheet and
Accounts for the year ended 31 December 2022, together with the
Chairman’s, the Directors’ and Auditor’s Reports thereon.",,,
2),"In accordance with Article 105 of the Company’s Articles of Association
the following Directors retire by rotation and being eligible, offer
themselves for re-election.",,,
,• Ms. Felister Kembi,,,
,• Dr. Peter Kahara Munga,,,
3),"Dr, Benson Wairegi, having attained the age of seventy years retires in
accordance with the Code of Corporate Governance Practices for Issuers
of Securities to the Public 2015 and being eligible, offers himself
for re-election",,,
4),"In accordance with Article 104 of the Company’s Articles of Association
Ms. Ann Kimari retires at this meeting, and being eligible, offers herself
for re-election.",,,
5),"In accordance with the provisions of Section 769 of the Companies Act,
2015 the following Directors, being members of the Group Board Audit &
Risk Committee be elected individually to continue to serve as members of
the said Committee:-",,,
,• Ms. Felister Kembi,,,
,• Dr. Anthony Omerikwa Opare,,,
,• Ms. Anne Kimari,,,
