Gross,"Loss
allowance","Carrying
amount"
Shs’000,Shs’000,Shs’000
"5,174,815","(304,075)","4,870,740"
"25,342",(960),"24,382"
10,(6),4
"23,849,815","(817,438)","23,032,377"
"8,247,003","(2,077,930)","6,169,073"
"2,433,879","(231,280)","2,202,599"
"39,730,864","(3,431,689)","36,299,175"
