GROUP,Column,COMPANY,Column
,31.03.2009,,31.03.2009
,UnAudited,,UnAudited
,(KShs. ‘000’),,(KShs. ‘000’)
,"1,933,770",,"1,933,770"
,"762,258",,"762,258"
,"1,171,512",,"1,171,512"
,"394,053",,"394,053"
,"777,459",,"777,459"
,"777,459",,"777,459"
,-,,-
,-,,-
,"311,591",,"311,591"
,"311,591",,"311,591"
,"5,733",,"5,733"
,"5,733",,"5,733"
,,,"2,880,406"
,,,"250,000"
,,,"2,630,406"
,,,"192,505"
,,,"3,072,911"
,,,"7,472,062"
,,,27.09%
,,,8.00%
,,,19.09%
,,,38.55%
,,,8.00%
,,,30.55%
,,,41.13%
,,,12.00%
,,,29.13%
,,,26.66%
,,,20.00%
,,,6.66%
