New standard or amendments,"Effective for annual periods
beginning on or after"
IFRS 16 Leases,1 January 2019
IFRIC 23 Uncertainty over income tax treatments,1 January 2019
IFRS 9 Prepayment Features with Negative Compensation,1 January 2019
IAS 28 Long-term Interests in Associates and Joint Ventures,1 January 2019
Annual improvements cycle (2015-2017),1 January 2019
"IAS 19 Plan Amendment, Curtailment or Settlement
(Amendments to IAS 19)",1 January 2019
