Column,Column,Bank,Column,Column,Column,Column,Group Consolidated,Column,Column
,,30.09.2016 3,1.12.2016,31.03.2017,30.06.2017,30.09.2017,30.09.2016,31.12.2016,30.09.2017
II,STATEMENT OF COMPREHENSIVE INCOME,UnAudited,Audited,UnAudited,UnAudited,UnAudited,UnAudited,Audited,UnAudited
,FOR THE PERIOD ENDED 30 SEPTEMBER 2017,(Ksh’000) (,Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000)
,,,,,,"5,100,896",,,"5,100,896"
,,,,,,"271,987",,,"271,987"
,,,,,,"80,329",,,"80,329"
,,,,,,-,,,-
,,,,,,"5,453,212",,,"5,453,212"
,,,,,,"1,779,285",,,"1,779,285"
,,,,,,"49,150",,,"49,150"
,,,,,,"1,379,548",,,"1,441,391"
,,,,,,"3,207,982",,,"3,269,826"
,,,,,,"2,245,230",,,"2,183,386"
,,,,,,"43,204
72,116
43,614",,,"43,204
159,756
43,614"
,,,,,,"-
68,960
227,894",,,"-
397,992
644,567"
,,,,,,"2,473,124
478,878",,,"2,827,953
478,878"
,,,,,,"635,444
14,679",,,"806,274
21,314"
,,,,,,"83,464",,,"83,464"
,,,,,,"123,263
130,396",,,"123,651
130,439"
,,,,,,"758,065",,,"952,067"
,,,,,,"2,224,189
248,936",,,"2,596,087
231,867"
,,,,,,-,,,-
,,,,,,"248,936",,,"231,867"
,,,,,,"(74,681)",,,"(72,139)"
,,,,,,"-
174,255",,,"-
159,728"
,,,,,,"-
31,928",,,"-
31,928"
,,,,,,"-
-",,,"-
-"
,,,,,,"(9,578)",,,"(9,578)"
,,,,,,"22,349",,,"22,349"
,,,,,,"196,604",,,"182,078"
,,,,,,46.47,,,0.81
,,,,,,40.00,,,-
