"Board meetings attendance for the year ended
31 December 2010",Board meetings,Column,Column,Column,Column,Column,Column,"Total
attendance"
Dates,23/2,6/4,27/4,28/5,20/7,16/10,30/11,
Kungu Gatabaki,√,√,N/A,N/A,N/A,N/A,N/A,2
David Ansell,√,√,√,X,√,√,√,6
Naftali Mogere,√,√,N/A,N/A,N/A,N/A,N/A,2
Beatrice Sabana,√,√,N/A,N/A,N/A,N/A,N/A,2
Benson Wairegi,√,√,√,√,√,√,√,7
Frank Ireri,√,√,√,√,√,√,√,7
Peter K Munga,√,√,√,√,√,√,√,7
Steve O Mainda,√,√,√,√,√,√,√,7
Prof. Shem Migot-Adholla,√,√,√,√,√,√,√,7
Arthur Odera,N/A,N/A,N/A,N/A,N/A,√,X,1
