UNAUDITED FINANCIAL STATEMENTS AND DISCLOSURES FOR THE PERIOD ENDED 30 JUNE 2011,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
,,,GROUP,,,,COMPANY,,,,,GROUP,COMPANY
I STATEMENT OF FINANCIAL POSITION,,30.06.2010,31.12.2010,31.03.2011,30.06.2011,30.06.2010,31.12.2010,31.03.2011,30.06.2011,III DISCLOSURES,"30.06.2010
UnAudited",31.12.2010 31.03.2011 30.06.2011 30.0,6.2010 31.12.2010 31.03.2011 30.06.2011
,,UnAudited,Audited,Unaudited,Unaudited,UnAudited,Audited,Unaudited,Unaudited,,,Audited Unaudited Unaudited UnA,udited Audited Unaudited Unaudited
,,(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),,(Ksh’000),(Ksh’000) (Ksh’000) (Ksh’000) (Ks,h’000) (Ksh’000) (Ksh’000) (Ksh’000)
,,,,,,,,,,,"1,799,245
493,565
1,305,680
534,047
771,633
771,633
-
351,214
351,214
1,033
-
1,033",,
,,"123,978","101,224","130,043","108,059","123,978","101,224","130,043","108,059",,,"1,467,815 1,674,893 1,642,327 1,7","99,245 1,467,815 1,674,893 1,642,327"
,,-,-,-,-,-,-,-,-,,,"283,632 272,846 260,477 4","93,565 283,632 272,846 260,477"
,,"510,186","539,835","535,309","539,679","510,186","539,835","535,309","539,679",,,"1,184,183 1,402,047 1,381,850 1,3","05,680 1,184,183 1,402,047 1,381,850"
,,-,-,-,-,-,-,-,-,,,"439,916 470,663 475,287 5","34,047 439,916 470,663 475,287"
,,"5,181,432","8,185,432","8,226,708","7,548,683","5,181,432","8,185,419","8,226,708","7,548,683",,,"744,267 931,384 906,563 7","71,633 744,267 931,384 906,563"
,,-,-,-,-,-,-,-,-,,,,
,,,,,,,,,,,,"744,267 931,384 906,563 7","71,633 744,267 931,384 906,563"
,,-,-,-,-,-,-,-,-,,,,
,,,,,,,,,,,,- - -,- - - -
,,"26,021",-,-,"16,763","1,919",-,-,-,,,,
,,"16,357,930","19,503,400","20,365,783","21,535,410","16,357,930","19,503,400","20,365,783","21,535,410",,,,
,,-,-,-,-,-,-,-,-,,,,
,,-,-,-,-,-,-,-,-,,,,
,,-,-,-,-,-,-,-,-,,,"459,860 480,908 494,513 3","51,214 459,860 480,908 494,513"
,,-,-,-,-,"130,020","130,020","130,020","130,020",,,"459,860 480,908 494,513 3","51,214 459,860 480,908 494,513"
,,-,-,-,-,-,-,-,-,,,,
,,-,-,-,-,-,-,-,-,,,,
,,"604,721","600,417","616,384","681,224","598,609","594,341","610,327","675,186",,,"1,033 1,033 1,033","1,033 1,033 1,033 1,033"
,,"48,936","48,615","48,454","48,294","41,940","41,710","41,595","41,480",,,- - -,- - - -
,,"2,978","3,085","2,423","9,378","2,956","3,068","2,409","9,367",,,"1,033 1,033 1,033","1,033 1,033 1,033 1,033"
,,"73,866","76,050","76,052","76,050","18,761","23,006","23,006","23,006",,,,
