Title,Effective date,Key requirements
"Amendments to IAS
21, ‘The Effects of
Changes in Foreign
Exchange Rates’ - Lack
of Exchangeability
(Amendments to IAS
21)","Annual periods beginning on
or after 1 January 2025
(Published August 2023)","An entity is impacted by the amendments
when it has a transaction or an operation in
a foreign currency that is not exchangeable
into another currency at a measurement
date for a specified purpose. A currency
is exchangeable when there is an ability
to obtain the other currency (with a normal
administrative delay), and the transaction
would take place through a market
or exchange mechanism that creates
enforceable rights and obligations."
"Amendment to IFRS 9,
“Financial Instruments”
and IFRS 7, “Financial
Instruments:
Disclosures” -
Classification and
Measurement of
Financial Instruments","Annual periods beginning on
or after 1 January 2026
(Published May 2024)","These amendments:
• clarify the requirements for the timing
of recognition and derecognition of
some financial assets and liabilities,
with a new exception for some financial
liabilities settled through an electronic
cash transfer system;
• clarify and add further guidance for
assessing whether a financial asset meets
the solely payments of principal and
interest (SPPI) criterion;
• add new disclosures for certain
instruments with contractual terms that
can change cash flows (such as some
instruments with features linked to the
achievement of environment, social and
governance (ESG) targets); and
• make updates to the disclosures for
equity instruments designated at Fair
Value through Other Comprehensive
Income (FVOCI)."
"IFRS 19, ‘Subsidiaries
without Public
Accountability’","Annual periods beginning on
or after 1 January 2027
(Published May 2024)","The objective of IFRS 19 is to provide reduced
disclosure requirements for subsidiaries, with a
parent that applies the Accounting Standards
in its consolidated financial statements.
IFRS 19 is a voluntary Accounting Standard
that eligible subsidiaries can apply when
preparing their own consolidated, separate
or individual financial statements."
