Column,"2020
Shs’000",Column,"2020
Shs’000",Column
,"(1,775,882)","(137,802)
(41,341)
-
50,785
(7,884)
(29,254)","(239,335)",
,"(443,971)",,"(59,834)",
,"(13,385)",,"(1,850)",
,-,,-,
,"7,841",,-,
,"380,496",,"50,587",
Income tax credit,"(69,019)","(27,694)","(11,097)","(10,253)"
