Board Member,"Date of
Appointment",Expertise,Gender,"Non
Executive/
Executive",Independence
Prof. Olive M. Mugenda,21st October 2021,"Academic research, public
administration, leadership and
governance",F,Non Executive,Independent
Dr. Benson I. Wairegi,1st April 2008,"Financial services, insurance,
business strategy, leadership and
corporate governance",M,Non Executive,Non Independent
Dr. Peter K. Munga,1st July 2008,"Financial services,
entrepreneurship, human
resources and financial
management, leadership",M,Non Executive,Non Independent
Dr. Anthony O. Omerikwa,18th January 2022,"Public administration,
Information technology, human
resources, administration,
procurement, leadership",M,Non Executive,Independent
Ms. Felister W. Kembi,"26th September
2016","Financial advisory and
management, audit,
entrepreneurship,",F,Non Executive,Independent
Mr. Tom M. Gitogo,1st August 2023,"Financial services, insurance,
corporate governance, human
resources, commercial and
business strategy",M,Non Executive,Non Independent
Dr. Anne W. Kimari,24th June 2022,"Financial services and
management, tax, audit, risk,
business strategy, corporate
governance.",F,Non Executive,Independent
Mr. Robert N. Kibaara,1st March 2019,"Financial services and
management, retail banking,
business strategy, change
management",M,Executive,Non Independent
