Column,Year ended 31 December 2020,Column,Column,Year ended 31 December 2019,Column,Column
,"Fees
Shs’000","Sitting
allowance
Shs’000","Total
Shs’000","Fees
Shs’000","Sitting
allowance
Shs’000","Total
Shs’000"
,"2,569",-,"2,569",,,
"Dr. Benson Wairegi, EBS",488,"1,404","1,892",488,"1,560","2,048"
Dr. Peter K Munga,488,624,"1,112",488,"1,028","1,516"
Adan D Mohamed,648,"1,560","2,208",648,"1,664","2,312"
Constance Gakonyo,487,900,"1,387",488,"1,196","1,684"
Dr. Kaushik Manek,"4,875",208,"5,083","3,778",626,"4,404"
Felister Kembi,488,"1,196","1,684",488,936,"1,424"
Gladys Karuri,488,"1,040","1,528",488,988,"1,476"
,"10,531","6,932","17,463","11,822","7,998","19,820"
