Column,2024,Column,Column,Column
,Stage 1,Stage 2,Stage 3,Total
,Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
,"27,817,660","3,790,128","10,819,714","42,427,502"
"Transfer to 12 months ECL
Transfer to lifetime ECL not credit impaired
Transfer to lifetime ECL credit impaired
Net remeasurement
Net financial assets originated
Financial assets derecognised","2,178,688","(1,670,739)","(507,949)",-
,"(245,246)","1,678,542","(1,433,296)",-
,"(1,375)","(152,796)","154,171",-
,"(4,741,314)","(553,630)","3,342,989","(1,951,955)"
,"4,295,371","328,205",,"4,623,576"
,"(1,691,350)","(149,151)","(162,735)","(2,003,236)"
,-,-,"(248,419)","(248,419)"
,"27,612,434","3,270,559","11,964,475","42,847,468"
