Column,Column,2000,1999
,,KShs'OOO,KShs'OOO
,Commitment in principle but not authorised for payment,"136,000","991,961"
,Authorised but not disbursed,"405,000","709,419"
,,"541,000","1,701,380"
28,CAPITAL COMMITMENTS,,
,Group and Company,,
,Authorised but not contracted,"12,647","37,030"
29,ASSETS PLEDGED AS SECURITY,,
