Column,"2020
Shs’000",Column
,"1,931,984",
,"(81,926)",
,"1,850,058",
,"466,843",
,"61,825",
,"528,668",
,"(1,757,257)",
,"(18,625)",
Consolidated profit before income tax,"(1,775,882)","(137,802)"
,"57,874,492",
,"(2,429,243)",
Consolidated total assets,"55,445,249","56,454,918"
,"49,106,956",
,"(2,223,495)",
Consolidated total liabilities,"46,883,461","46,212,698"
