"Freehold
land",Buildings,"Furniture, fixtures,
equipment &
motor vehicles",Total
Shs’000,Shs’000,Shs’000,Shs’000
"62,000","905,183","1,276,732","2,243,915"
-,-,"19,915","19,915"
-,-,(784),(784)
,"(580,000)",,"(580,000)"
"62,000","325,183","1,295,863","1,683,046"
"52,000","225,183","1,295,863","1,573,046"
"10,000","100,000",-,"110,000"
"62,000","325,183","1,295,863","1,683,046"
-,"52,535","1,057,415","1,109,950"
-,"6,442","35,506","41,948"
-,-,(784),(784)
-,"(10,910)",-,"(10,910)"
-,"11,499","1,092,137","1,103,636"
"62,000","346,521","170,889","579,410"
