Column,2023,Column,Column,Column
,Stage 1,Stage 2,Stage 3,Total
,Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
,"26,009,720","5,234,210","8,486,934","39,730,864"
"Transfer to 12 months ECL
Transfer to lifetime ECL not credit
impaired
Transfer to lifetime ECL credit
impaired
Net remeasurement
Net financial assets originated
Financial assets derecognised","1,620,346","(1,289,110)","(331,236)",-
,"(413,796)","2,354,883","(1,941,087)",-
,"(2,850)","(394,917)","397,767",-
,"(3,181,348)","261,388","4,564,581","1,644,621"
,"2,962,067","243,655","46,537","3,252,259"
,"(1,531,363)","(265,097)","(302,503)","(2,098,963)"
,-,-,"(101,279)","(101,279)"
,"25,462,776","6,145,012","10,819,714","42,427,502"
