"Board meetings attendance for the
year ended 31 December 2011",Board meetings,Column,Column,Column,Column,"Total
attendance"
Dates,23/2,27/4,19/7,29/10,29/11,
Steve Mainda,√,√,√,√,X,4
David R. Ansell,√,√,√,√,√,5
Benson Wairegi,√,√,X,√,√,4
Peter Munga,√,√,√,√,√,5
Shem Migot- Adholla,√,√,√,√,√,5
Arthur P. Odera,√,√,√,X,X,3
Frank Ireri,√,√,√,√,√,5
