Column,Column,Column,Year ended 31 December 2025,Column,Column,Column,Column,Year ended 31 December 2024,Column,Column,Column
,,Fees,,Sitting,Total,,Fees,,Sitting,Total,
,,,,allowance,,,,,allowance,,
,,"Shs'000
4,875
488
488
203
488
488
488",,Shs'000,,Shs'000,,Shs'000,Shs'000,,Shs'000
P,rof. Olive Mugenda,,,-,,"4,875",,"4,875",-,,"4,875"
D,"r. Benson Wairegi, EBS",,,"3,019",,"3,507",,488,"2,456",,"2,944"
D,r. Peter K Munga,,,"1,404",,"1,892",,488,"1,052",,"1,540"
A,nthony Opare Omerikwa,,,421,,624,,488,"1,123",,"1,611"
D,r Anne W. Kimari,,,"1,404",,"1,892",,488,"1,332",,"1,820"
F,elister Kembi,,,"1,404",,"1,892",,488,"1,404",,"1,892"
M,r. Tom Gitogo,,,"1,193",,"1,681",,488,"1,334",,"1,822"
,,,"7,518","8,845",,"16,363",,"7,803","8,701",,"16,504"
