"At 1 January 2009
Total comprehensive
income for the year
Net profit after taxation
Revaluation surplus
Transfer to statutory reserve
Total comprehensive
income
Transactions with owners,
recorded directly in equity
Dividend paid
Proposed dividends
Total transactions
with owners for the year
Balance as at
31 December 2009
Total comprehensive
income for the year
Net profit after taxation
Transfer from statutory reserve
Total comprehensive
income
Transactions with owners,
recorded directly in equity
Dividend paid-2009
Interim dividend paid-2010
Proposed dividends
Total transactions
with owners for the year
Balance as at
31 December 2010","Share Revaluation Share Proposed Statutory Retained
capital reserve premium dividends reserve profits Total
KShs’000 KShs’000 KShs’000 KShs’000 KShs’000 KShs’000 KShs’000"
,"1,150,000 193,418 1,549,173 69,000 480,803 159,272 3,601,666
- - - - - 234,176 234,176
- 255,784 - - - - 255,784
- - - - 104,232 (104,232) -"
,"- 255,784 - - 104,232 129,944 489,960"
,"- - - ( 69,000) - - ( 69,000)
- - - 115,000 - (115,000) -"
,"- - - 46,000 - (115,000) ( 69,000)"
,"1,150,000 449,202 1,549,173 115,000 585,035 174,216 4,022,626"
,"- - - - - 379,531 379,531
- - - - (82,293) 82,293 -"
,"- - - - (82,293) 461,824 379,531"
,"- - - (115,000) - - (115,000)
- - - - - ( 80,500) ( 80,500)
- - - 80,500 - (80,500) -"
,"- - - (34,500) - (161,000) (195,500)"
,"1,150,000 449,202 1,549,173 80,500 502,742 475,040 4,206,657"
