Year ended 31 December 2022,Column,Column,Column,Column
At start of year,"1,923,071","4,343,512","3,301,635","9,568,218"
"Profit and total comprehensive income
for the year",-,-,"50,005","50,005"
At end of year,"1,923,071","4,343,512","3,351,640","9,618,223"
