31 December 2021,Carrying Amount,Fair Value,Level 1,Level 2,Level 3
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
Financial assets,,,,,
Cash and cash equivalents,"2,708,074","2,708,074",-,-,-
Placements with banks,"33,311","33,311",-,-,-
Investment securities Amortised Cost,"1,825,422","1,810,123",-,"1,810,123",-
Loan advances to customers,"34,692,625","34,692,625",-,-,"34,692,625"
Other Assets,"521,542","521,542",,,"521,542"
,"39,780,974","39,765,675","-,","1,810,123","35,214,167"
Financial liabilities,,,,,
Balances from Central Bank,-,-,-,-,-
Deposits from customers,"37,714,914","37,714,914",-,-,"37,714,914"
Deposits from banks,"601,606","601,606",-,-,"601,606"
Borrowings,"4,298,349","4,298,349",-,-,"4,317,757"
Government of Kenya income notes,"52,860","52,860",-,-,"52,860"
Lease liabilities,"579,403","579,403",-,-,"579,403"
Other Liabilities,"417,786","417,786",-,-,"417,786"
,"43,664,918","43,664,918",-,-,"43,684,326"
