31 December 2010:,"Average Due on Due within Due between Due between Due after
interest rate Demand 3 months 3 and 12 months 1 and 5 years 5years Total
% KShs’000 KShs’000 KShs’000 KShs’000 KShs’000 KShs’000"
"Financial assets
Cash bala nces
Placements with other banks
Investment in Government
securities
Net mortgage advances to
customers
Total
Financial liabilities
Customer deposits
Loans from banks
Corporate Bond
Government income notes
Total
Unrecognised mortgage
commitments
At 31 December 2010","- 420,390 - - - - 420,390
4.7 - 6,599,080 1,267,186 7,866,266
6.92 - - 9,835 530,000 - 539,835
5.41 - 324,479 1,069,660 2,295,392 15,813,869 19,503,400"
,"420,390 6,923,559 2,346,681 2,825,392 15,813,869 28,329,891"
,"3.91 4,495,580 6,199,573 2,744,267 95,969 2,407,952 15,943,341
7.92 - 78,858 646,771 847,740 - 1,573,369
7.32 - - - - 7,030,900 7,030,900
8.25 - - - - 50,750 50,750"
,"4,495,580 6,278,431 3,391,038 943,709 9,489,602 24,598,360"
,"- 2,384,128 4,201,757 - - 6,585,885"
,"(4,075,190) (1,739,000) (5,246,114) 1,881,683 6,324,267 (2,854,354)"
