"Item
No.",Resolutions:,For,Against,Withheld
1),"To receive and, if approved, adopt the audited Balance
Sheet and Accounts for the year ended 31 December 2020,
together with the Chairman’s, the Directors’ and Auditor’s
Reports thereon.",,,
2),"To consider, and if thought fit, to authorize the Directors to
appoint Independent Directors to sit as members of the Group
Board Audit & Risk Committee.",,,
3),"To approve the Directors Remuneration Report for the year
ended 31st December 2020.",,,
4),"To appoint PricewaterhouseCoopers (PWC) as the auditors
of the Company in accordance with Sections 721 of the
Companies Act, No. 17 of 2015 and to authorize the Directors
to fix the remuneration of the auditors in terms of section 724
of the said Companies Act.",,,
