Column,Topic,Definition,"Stakeholders
Concerned"
1,"Economic
Performance","Our business is not making profit but is stable. As the
company grows, we want to make sure that we follow
the same values as when HF Group was founded. We
have an active risk management strategy, and we keep
our operations agile to be as stable as possible.","Customers
Shareholders
Employees"
2,Health & Well-Being,"People are our most important asset. Given the unique
circumstances presented by the Covid-19 pandemic,
naturally, a primary focus in 2020 was the health and
well being of our 456 staff.",Employees
3,"Digitalization of the
business","In 2020, we continued our transformation journey to
digitalize our existing offerings. The Covid-19 compelled
us to re-engineer & improve on our processes Innovations
in the dynamic financial technology space allow us to
serve a range of customers, specifically women and
youth.","Employees
Customers"
4,"Governance
& Regulatory
Compliance","We take our corporate citizenship seriously with strict
compliance to the regulatory framework laid out by
the Central Bank of Kenya. Our Code of Conduct sets
parameters and guidelines for how we treat our customers
while outlining the expectations from our employees.","Regulators
Employees"
5,Innovation,"As part of our efforts to advance financial inclusion,
we continued to enhance and innovate our products,
operating models and distribution channels with a
particular focus on mobile banking.","Employees
Suppliers
Customers"
