Column,Column,Bank,Column,Column,Column,Column,Column,Group,Column
,,30.09.201,4 31.12.2014,31.03.2015,30.06.2015,30.09.2015,30.09.2014,31.12.2014,30.09.2015
II,STATEMENT OF COMPREHENSIVE INCOME,Unaudited,Audited,Unaudited,Unaudited,Unaudited,Unaudited,Audited,Unaudited
,FOR THE PERIOD ENDED 30 SEPTEMBER 2015,(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000)
,,,,,,"5,217,351",,,"5,217,351"
,,,,,,"58,877",,,"58,877"
,,,,,,"557,906",,,"557,906"
,,,,,,-,,,-
,,,,,,"5,834,135",,,"5,834,135"
,,,,,,"1,924,258",,,"1,900,811"
,,,,,,-,,,-
,,,,,,"1,214,812",,,"1,214,812"
,,,,,,"3,139,071",,,"3,115,624"
,,,,,,"2,695,064",,,"2,718,511"
,,,,,,"134,843",,,"134,843"
,,,,,,"68,024",,,"68,024"
,,,,,,"72,104",,,"72,104"
,,,,,,-,,,-
,,,,,,"262,475",,,"126,899"
,,,,,,"537,447",,,"401,870"
,,,,,,"3,232,510",,,"3,120,381"
,,,,,,"424,130",,,"424,130"
,,,,,,"746,612",,,"781,531"
,,,,,,"13,155",,,"13,571"
,,,,,,"43,523",,,"45,571"
,,,,,,"69,089",,,"69,317"
,,,,,,"8,058",,,"8,082"
,,,,,,"645,173",,,"704,563"
,,,,,,"1,949,740",,,"2,046,765"
,,,,,,"1,282,771",,,"1,073,616"
,,,,,,"28,468",,,"28,468"
,,,,,,"1,311,239
(322,665)",,,"1,102,083
(324,618)"
,,,,,,-,,,-
,,,,,,"988,574",,,"777,465"
,,,,,,-,,,-
,,,,,,-,,,-
,,,,,,-,,,-
,,,,,,-,,,-
,,,,,,-,,,-
,,,,,,-,,,-
,,,,,,"988,574",,,"777,465"
,,,,,,3.78,,,2.98
,,,,,,0.65,,,0.65
