Column,Stage 1,Stage 2,Stage 3,Total
,"12-month
ECL","Lifetime
ECL","Lifetime
ECL",
,Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
,"22,086,457","7,290,049","8,672,760","38,049,266"
"Transfer to 12 months ECL
Transfer to lifetime ECL not credit impaired
Transfer to lifetime ECL credit impaired
Net remeasurement
Net financial assets originated
Financial assets derecognised","1,074,041","(716,974)","(357,067)",-
,"(663,556)","782,216","(118,660)",-
,"(373,914)","(565,075)","938,989",-
,"(2,555,272)","(1,085,881)","80,754","(3,560,399)"
,"7,490,033","1,141,996","87,204","8,719,233"
,"(1,048,069)","(1,612,121)","(622,012)","(3,282,202)"
,-,-,"(195,034)","(195,034)"
,"26,009,720","5,234,210","8,486,934","39,730,864"
