"Board meetings attendance for the year
ended 31 December 2018",Board meetings,Column,Column,"Total
attendance",Column
Date,27-Feb,24-Apr,"25-
May",24-Oct,
Steve Mainda,√,√,√,√,4
Frank Ireri,√,√,√,X,3
Benson Wairegi,√,√,√,√,4
Peter Munga,√,√,√,√,4
Adan Mohamed,X,√,√,√,3
Constance Gakonyo,√,√,√,X,3
Kaushik Manek,X,√,√,√,3
Felister Kembi,√,√,√,√,4
Gladys Karuri,√,√,√,√,4
