GROUP,Column,Column,Column,COMPANY,Column,Column,Column
30.06.2009,31.12.2009,31.03.2010,30.06.2010,30.06.2009,31.12.2009,31.03.2010,30.06.2010
UnAudited,Audited,UnAudited,UnAudited,UnAudited,Audited,UnAudited,UnAudited
(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000)
"1,913,012","1,815,135","1,912,024","1,799,245","1,913,012","1,815,135","1,912,024","1,799,245"
"594,035","555,353","524,524","493,565","594,035","555,353","524,524","493,565"
"1,318,977","1,259,782","1,387,500","1,305,680","1,318,977","1,259,782","1,387,500","1,305,680"
"446,066","505,430","512,254","534,047","446,066","505,430","512,254","534,047"
"872,911","754,352","875,246","771,633","872,911","754,352","875,246","771,633"
"872,911","754,352","875,246","771,633","872,911","754,352","875,246","771,633"
-,-,-,-,-,-,,
-,-,,,-,-,,
"259,549","318,845","330,483","351,214","259,549","318,845","330,483","351,214"
"259,549","318,845","330,483","351,214","259,549","318,845","330,483","351,214"
"5,733","1,033","1,033","1,033","5,733","1,033","1,033","1,033"
,-,-,-,,-,,
"5,733","1,033","1,033","1,033","5,733","1,033","1,033","1,033"
,,,,"2,852,657","2,884,244","2,909,064","2,852,974"
,,,,"250,000","250,000","350,000","350,000"
,,,,"2,602,657","2,634,244","2,559,064","2,502,974"
,,,,"198,947","279,054","287,895","298,707"
,,,,"3,051,604","3,163,298","3,196,959","3,151,681"
,,,,"7,987,394","9,280,302","9,987,519","10,852,487"
,,,,25.27%,23.57%,21.36%,17.39%
,,,,8.00%,8.00%,8.00%,8.00%
,,,,17.27%,15.57%,13.36%,9.39%
,,,,35.71%,31.08%,29.13%,26.29%
,,,,8.00%,8.00%,8.00%,8.00%
,,,,27.71%,23.08%,21.13%,18.29%
,,,,38.21%,34.09%,32.01%,29.04%
,,,,12.00%,12.00%,12.00%,12.00%
,,,,26.21%,22.09%,20.01%,17.04%
,,,,26.60%,23.89%,28.71%,35.26%
,,,,20.00%,20.00%,20.00%,20.00%
,,,,6.60%,3.89%,8.71%,15.26%
