"Board meetings attendance for the year
ended 31 December 2016",Board meetings,Column,Column,Column,"Total
attendance"
Date,24/2,19/4,19/7,19/10,
Steve Mainda,✓,✓,✓,✓,4
Benson Wairegi,✓,✓,✓,✓,4
Peter Munga,X,✓,✓,X,2
Adan D Mohamed,✓,✓,✓,✓,4
Frank Ireri,✓,✓,✓,✓,4
Constance Gikonyo,✓,✓,✓,✓,4
Felister Kembi*,N/A,N/A,N/A,✓,1
Kaushik Manek,✓,✓,✓,✓,4
