31 December 2009,"Average Due on Due within Due between Due between Due after
interest rate Demand 3 months 3 and 12 months 1 and 5 years 5years Total
% KShs’000 KShs’000 KShs’000 KShs’000 KShs’000"
"Financial assets
Cash balances
Placements with other banks
Investment in Government
securities
Net mortgage advances to
customers
Total
Financial liabilities
Customer deposits
Loans from banks
Government income notes
Total
Unrecognised mortgage
commitments
At 31 December 2009","0.00 319,839 - - - - 319,839
8.97 100,092 1,293,775 712,552 - - 2,106,419
6.72 - - 9,507 500,000 - 509,507
5.50 - 370,237 713,368 2,055,344 11,356,259 14,495,208"
,"419,931 1,664,012 1,435,427 2,555,344 11,356,259 17,430,973"
,"5.42 4,946,839 4,117,450 1,447,054 21,746 1,686,360 12,219,449
10.32 - 700,000 - 1,000,000 - 1,700,000
8.25 - - - - 50,750 50,750"
,"4,946,839 4,817,450 1,447,054 1,021,746 1,737,110 13,970,199"
,"- 2,673,346 3,177,896 - - 5,851,242"
,"(4,526,908) (5,826,784) (3,189,523) 1,533,598 9,619,149 (2,390,468)"
