STAKEHOLDER GROUP,DESCRIPTION
Customers,"1. HFC - 331,811 customers
2. HFDI –1,038 households
3. HF Foundation – 4,954 beneficiaries
4. HF Insurance Agency – 6,418 customers
5. First Permanent EA Limited – non-trading company"
Employees,"1. Long-term employees - 385
2. Short-term employees - 19"
Regulators,"1. Central Bank of Kenya
2. National Treasury
3. Capital Market Authority
4. Nairobi Securities Exchange
5. Kenya Bankers Association
6. Insurance Regulatory Authority
7. Retirement Benefits Authority"
Investors,"1. Shareholders
2. Fund managers
3. Analysts"
Communities,"1. Foundation Beneficiaries
2. Media
3. Advocacy Groups"
