II,"STATEMENT OF COMPREHENSIVE INCOME
FOR THE PERIOD ENDED 30 SEPTEMBER 2024","BANK
30th Sep 31st Dec 31st Mar 30th June 30th Sep
2023 2023 2024 2024 2024
UnAudited Audited UnAudited UnAudited UnAudited
(Ksh'000) (Ksh'000) (Ksh'000) (Ksh'000) (Ksh'000)",Column,Column,Column,Column,GROUP,Column,Column
,,,"31st De
202
Audite
(Ksh'000","c 31st Mar
3 2024
d UnAudited
) (Ksh'000)","30th June
2024
UnAudited
(Ksh'000)","30th Sep
2024
UnAudited
(Ksh'000)","30th Sep
2023
Un Audited
(Ksh'000)","31st Dec
2023
Audited
(Ksh'000)","30th Sep
2024
UnAudited
(Ksh'000)"
,,,,,,,"2,945,426 4,020,677
833,521 1,145,637
19,566 38,096
- -",,
,,,,,,"3,536,881",,,"3,521,513"
,,,,,,"1,106,166",,,"1,106,166"
,,,,,,"44,869",,,"44,869"
,,,,,,-,,,-
,,,,,,"4,687,916
2,114,966","3,798,513 5,204,410
1,422,069 2,013,449
173,856 255,476
293,553 385,900",,"4,672,548
2,109,772"
,,,,,,"324,447
278,556",,,"324,447
278,762"
,,,,,,"2,717,969
1,969,947","1,889,478 2,654,824
1,909,035 2,549,585",,"2,712,981
1,959,567"
,,,,,,,"162,497 222,214
174,072 192,555
119,497 174,407
- -
452,368 653,930",,
,,,,,,"170,490",,,"170,490"
,,,,,,"123,688",,,"246,968"
,,,,,,"139,576",,,"139,576"
,,,,,,-,,,-
,,,,,,"96,603",,,"450,003"
,,,,,,"530,357","908,435 1,242,806",,"1,007,037"
,,,,,,"2,500,304","2,817,469 3,792,391",,"2,966,604"
,,,,,,,"237,053 309,299
1,174,175 1,625,812
31,228 38,684
49,120 65,047
120,318 156,085
157,423 213,093
785,483 1,081,833",,
,,,,,,"248,807",,,"248,807"
,,,,,,"1,194,809",,,"1,370,955"
,,,,,,"17,335",,,"30,206"
,,,,,,"46,820",,,"46,820"
,,,,,,"119,799",,,"122,498"
,,,,,,"62,223",,,"62,342"
,,,,,,"694,366",,,"772,721"
,,,,,,"2,384,159","2,554,800 3,489,852",,"2,654,349"
,,,,,,"116,146","262,669 302,538",,"312,255"
,,,,,,-,"- 31,946",,-
,,,,,,"116,146","262,669 334,484
(26,422) (29,687)
- 83,359",,"312,255"
,,,,,,"(8,855)",,,"(23,919)"
,,,,,,"195,137",,,"195, 137"
,,,,,,"302,428","236,247 388,156",,"483,473"
,,,,,,-,"- -
(431,193) (378,578)
- 20,000
- -
129,358 110,573",,-
,,,,,,"52,552
-
-
(15,765)",,,"52,552
-
-
(15,765)"
,,,,,,"36,787
339,215
44.56","(301,835) (248,005)
(65,588) 140,152
0.82 1.01",,"36,787
520,260
1.68"
