II,STATEMENT OF COMPREHENSIVE INCOME,Bank,Column,Group
,,31.03.2023,"31.03.2022 31.12.2022
UnAudited Audited
(Ksh’000) (Ksh’000)
820,670 3,321,592
197,714 937,884
4,936 10,522",31.03.2023
,,UnAudited,,UnAudited
,,(Ksh’000),,(Ksh’000)
,,"920,708",,"900,878"
,,"267,217",,"267,217"
,,"10,075",,"10,075"
,,"-
1,198,000","- -
1,023,320 4,269,998","-
1,178,170"
,,"413,048","367,108 1,588,292
36,812 148,740
99,277 373,337","412,754"
,,"32,308",,"32,308"
,,"103,715",,"103,715"
,,"549,071","503,198 2,110,369","548,777"
,,"648,929","520,122 2,159,629","629,393"
,,,"34,324 171,073
76,370 131,311
26,180 136,332
- -
115,837 440,978",
,,"52,278",,"52,278"
,,"25,514",,"25,514"
,,"42,065",,"42,065"
,,-,,-
,,"29,336",,"154,813"
,,"149,193","252,711 879,693","274,670"
,,"798,122","772,833 3,039,322","904,063"
,,,"56,402 194,130
308,831 1,330,440
8,443 38,801
35,057 53,957
51,476 148,105
59,047 239,973
214,509 837,256",
,,"101,749",,"101,749"
,,"320,260",,"357,902"
,,"5,566",,"7,437"
,,"15,848",,"16,554"
,,"33,406",,"33,941"
,,"46,946",,"46,987"
,,"227,220",,"249,447"
,,"750,995","733,764 2,842,662","814,016"
,,"47,127","39,068 196,660","90,046"
,,-,"- (6,265)",-
,,"47,127","39,068 190,394
(4,854) (25,582)
- 100,758
34,214 265,570","90,046"
,,"(1,656)",,"(6,730)"
,,"-
45,471",,"-
83,316"
,,-,"- -
(83,059) (77,337)
- 404,292
- -",-
,,"(25,905)",,"(25,905)"
,,"-
-",,"-
-"
,,"7,771
(18,134)","24,918 (98,087)
(58,141) 228,869","7,771
(18,134)"
,,"27,337","(23,927) 494,439","65,182"
,,35.73,0.36 0.92,0.87
