Date,"20,03.25",28.08.25,26.05.25,02.09.25,15.10.25,04.12.25,Total
Prof. Olive Mugenda,✓,✓,✓,x,✓,✓,5
Dr. Benson Wairegi,✓,✓,✓,✓,✓,✓,6
Ms. Felister Kembi,✓,✓,✓,✓,✓,✓,6
Mr. Tom Gitogo,✓,✓,✓,✓,x,✓,5
Mr. Charles Njuguna**,x,x,x,x,x,x,0
Dr. Anthony Omerikwa,x,✓,✓,x,x,x,2
Dr. Anne Kimari,✓,✓,✓,✓,✓,✓,6
Dr. Peter Munga,✓,x,✓,✓,✓,✓,5
Mr. Robert Kibaara,✓,✓,✓,✓,✓,✓,6
