Namb.,Maazimio :,kubali,kataa,Kutopiga
1),"Kupokea na endapo itakubaliwa, kupitisha mizania iliyofanyiwa ukaguzi na
hesabu za pesa kwa kipindi cha mwaka uliomalizika Desemba 31, 2022
pamoja na ripoti kutoka kwa mwenyekiti, wakurugenzi na wakaguzi wa pesa",,,
2),"Kufungamana na kifungu nambari 105 cha sheria za kampuni, wakurugenzi
wafuatao wanastaafu kwa zamu na kwa kuwa hali inawaruhusu,
wamejitokeza ili kuchaguliwa tena.",,,
,• Bi. Felister Kembi,,,
,• Dkt. Peter Kahara Munga,,,
3),"Dkt. Benson Wairegi, ambaye amefikisha miaka 70 anastaafu kwa zamu
kwa mujibu wa maadili ya utawala wa mashirika na utoaji wa dhamana za
hisa kwa umma ya mwaka 2015 na kwa kuwa hali inamruhusu amejitokeza ili
kuchaguliwa tena",,,
4),"Kwa mujibu wa kifungu nambari 104 cha sheria ushirika wa makampuni, Bi
Ann Kimari atastaafu wakati wa mkutano huu na kwa kuwa hali inamruhusu
anajitokeza kuchaguliwa tena",,,
