DETAILS,2015,2014,%
,KShs '000',KShs '000',Change
Liquid Funds,"12,118,207","11,889,804",2%
Good Book Loan Asset,"50,818,422","42,547,378",19%
Net NPL Loan Asset,"2,202,600","2,696,161",-18%
Other Assets,"6,520,206","3,828,337",70%
,"71,659,435","60,961,680",18%
Customers Deposits,"41,665,085","36,105,929",15%
Borrowed Funds,"18,540,375","17,143,112",8%
Other Liabilities,"831,333","1,153,757",-28%
,"61,036,793","54,402,798",12%
Share Capital,"1,744,483","1,157,900",51%
Reserves,"8,827,409","5,350,232",65%
GOK Income Notes,"50,750","50,750",0%
,"10,622,642","6,558,882",62%
,"71,659,435","60,961,680",18%
