"Leasehold
land","Office
premises",IT equipment,Total
Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
"54,612","621,079","219,903","895,594"
"(11,971)","(237,045)","(11,453)","(260,469)"
(461),"(58,316)","(33,174)","(91,951)"
"(12,432)","(295,361)","(44,627)","(352,420)"
"42,180","325,718","175,276","543,174"
