"Loan
balance",Current,"Non-
current","Interest
rate",Issue date,"Maturity
date"
Shs’ 000,Shs’ 000,Shs’ 000,,,
"1,214,764","457,498","757,266",4.321%,24 July 2017,"01 October
2026"
"485,202","485,202",-,11.8%,"28 December
2015","31 January
2026"
"1,029,442","1,029,442",-,19.41%,"01 February
2021","01 February
2028"
"929,052","142,576","786,476",5.00%,"31 March
2021","31 March
2028"
"81,972","81,972",-,10.9%,"5 March
2018","23 December
2028"
"3,740,432","2,196,690","1,543,742",,,
