Column,2020,Column,Column,Column
,"Stage 1
12-month ECL
Shs’ 000","Stage 2
Lifetime ECL
Shs’ 000","Stage 3
Lifetime ECL
Shs’ 000","Total
Shs’ 000"
,-,-,"326,251","326,251"
,-,-,"10,472,596","10,472,596"
,-,-,-,-
,-,-,"10,798,847","10,798,847"
,-,-,"(3,203,354)","(3,203,354)"
,-,-,"7,595,493","7,595,493"
,"23,272,585",-,-,"23,272,585"
,-,"6,558,292",-,"6,558,292"
,"23,272,585","6,558,292",-,"29,830,877"
,"(78,051)","(349,846)",-,"(427,897)"
,"23,194,534","6,208,446",-,"29,402,980"
Total Carrying amount,"23,194,534","6,208,446","7,595,493","36,998,473"
