Column,Column,"31st Ma
202","r 31st Dec
4 2024","31st Mar
2025","31st Mar
2024","31st De
2024","c 31st Mar
2025"
II,"STATEMENT OF COMPREHENSIVE INCOME FOR THE
PERIOD ENDED",UnAudite,d Audited,UnAudited,UnAudited,Audited,UnAudited
,,(Ksh'000),) (Ksh'000),(Ksh'000),(Ksh'000),(Ksh'000,) (Ksh'000)
,,,,,"1,161,213 4,765,73
317,942 1,583,10
34,349 57,77
-",,
,,,,"1,230,819",,,"0 1,187,528"
,,,,"595,966",,,"2 595,966"
,,,,"11,108",,,"5 11,108"
,,,,-,,,- -
,,,,"1,837,893","1,513,504 6,406,607",,"1,794,602"
,,,,,"655,252 2,937,07
89,738 447,64
91,187 359,35",,
,,,,"701,093",,,"0 699,033"
,,,,"31,221",,,"3 31,221"
,,,,"74,546",,,"9 74,598"
,,,,"806,860","836,177 3,744,072",,"804,852"
,,,,"1,031,033","677,327 2,662,535",,"989,750"
,,,,,"59,091 217,99
62,235 346,16
48,127 191,12
-
217,128 751,46",,
,,,,"51,379",,,"9 51,379"
,,,,"66,933",,,"7 94,275"
,,,,"34,521",,,"7 34,521"
,,,,-,,,- -
,,,,"46,071",,,"7 244,779"
,,,,"198,904","386,581 1,506,760",,"424,954"
,,,,"1,229,937","1,063,908 4,169,295",,"1,414,704"
,,,,,"109,086 364,46
437,212 1,894,27
8,775 42,85
16,292 61,77
39,268 161,74
22,412 76,771
272,195 1,130,664",,
,,,,"100,430",,,"0 100,430"
,,,,"449,877",,,"5 511,220"
,,,,"7,800",,,"1 11,514"
,,,,"13,882",,,"6 13,882"
,,,,"36,989",,,"8 38,951"
,,,,"15,109",,,"15,147"
,,,,"360,059",,,"387,044"
,,,,"984,146","905,240 3,732,545",,"1,078,188"
,,,,"245,791","158,668 436,750",,"336,516"
,,,,-,"- 23,243",,-
,,,,"245,791","158,668 459,993",,"336,516"
,,,,"(3,514)","(8,325) (31,955
- 96,647",,") (8,581)"
,,,,-,,,-
,,,,"242,277","150,343 524,685",,"327,935"
,,,,,"-
(20,114) 687,796
-
-
6,034 (206,339",,
,,,,-,,,- -
,,,,"296,429
-",,,"296,429
- -"
,,,,-,,,- -
,,,,"(88,929)",,,") (88,929)"
,,,,"207,500","(14,080) 481,457",,"207,500"
,,,,"449,777","136,263 1,006,143",,"535,435"
,,,,0.09,1.31 0.06,,0.14
