Column,Column,Bank,Column,Group Consolidated,Column
,,31.12.2018,31.12.2019,31.12.2018,31.12.2019
II,STATEMENT OF COMPREHENSIVE INCOME,Audited,Audited,Audited,Audited
,FOR THE PERIOD ENDED 31 DECEMBER 2019,(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000)
,,,"4,678,689",,"4,678,689"
,,,"419,374",,"419,374"
,,,"18,517",,"18,517"
,,,-,,-
,,,"5,116,580",,"5,116,580"
,,,"1,787,622",,"1,787,622"
,,,"99,171",,"99,171"
,,,"976,819",,"1,262,076"
,,,"2,863,612",,"3,148,869"
,,,"2,252,968",,"1,967,711"
,,,"183,640",,"183,640"
,,,"163,631",,"226,856"
,,,"50,151",,"50,151"
,,,-,,-
,,,"119,164",,"942,555"
,,,"516,586",,"1,403,202"
,,,"2,769,554",,"3,370,913"
,,,"351,194",,"350,441"
,,,"924,350",,"1,078,236"
,,,"7,806",,"12,174"
,,,"135,680",,"185,684"
,,,"159,659",,"174,869"
,,,"211,689",,"211,918"
,,,"1,002,661",,"1,497,521"
,,,"2,793,039",,"3,510,843"
,,,"(23,485)",,"(139,930)"
,,,"5,752",,"2,128"
,,,"(17,733)",,"(137,802)"
,,,"(125,897)",,"(186,325)"
,,,"149,978",,"214,019"
,,,"6,348",,"(110,108)"
,,,-,,-
,,,"104,247",,"104,247"
,,,-,,-
,,,-,,-
,,,"(31,274)",,"(31,274)"
,,,"72,973",,"72,973"
,,,"79,321",,"(37,134)"
,,,1.27,,(0.29)
,,,-,,-
