Information Technology (IT) systems and control in consolidated financial statements– continued,Column
The key audit matter,How the matter was addressed in our audit
"We determined this areas to be a key audit matter due
to the complexity of the IT infrastructure which required a
significant amount of our audit effort.","• Testing the design and operating effectiveness of automated
controls critical to financial reporting (application controls).
For any identified deficiencies, we tested the design and
effectiveness of compensating controls and, where necessary,
extended the scope of our substantive audit procedures."
Significant transaction – Transfer of assets and liabilities in consolidated financial statements,
See accounting policy note 3(r) – Significant accounting policies and disclosure note 21- Investment in Property Fund,
The key audit matter,How the matter was addressed in our audit
"In June 2019, HF Development and Investments Limited
(HFDI), a subsidiary of HF Group Plc, and Crescent
Finco LLP (a lender) formed a limited liability partnership
property fund named Housing Finance Development and
Investment LLP. HFDI Limited transferred certain assets and
borrowings into the property fund resulting in both parties
holding an investment in the property fund. The assets
owned by the property fund will be realized progressively
and the proceeds distributed to HFDI Limited and Crescent
Finco in accordance with the partnership agreement.
The areas that required particular audit attention included
our assessment of management’s accounting treatment
of the related party transaction and consideration of the
contractual terms of the agreements.
This transaction required particular audit attention
in our audit due to the complexity of the accounting
considerations based on the contractual agreements.","Our audit procedures in this area included, among others:
• Inquiring with management and those charged with governance
to understand the business rationale of the related party
transaction and obtaining an understanding of the controls
that management established to authorize and approve the
transaction;
• Inspecting the various agreements entered into between the
parties to the transaction;
• Inspecting minutes of meetings of owners, management
and those charged with governance, including any relevant
committees of these groups.
• Obtaining an understanding of the entity’s selection and
application of accounting policies to the transaction and the
resultant investment in the property fund; and,
• Assessing whether the disclosures appropriately disclose the
transaction."
