II,"STATEMENT OF COMPREHENSIVE INCOME
FOR THE PERIOD ENDED 30 SEPTEMBER 2018","30.09.2017 31
UnAudited",".12.2017
Audited","31.03.2018
UnAudited","30.06.2018
UnAudited","30.09.2018
UnAudited","30.09.2017
UnAudited","31.12.2017
Audited","30.09.2018
UnAudited"
,,(Ksh’000) (K,sh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000)
,,,,,,"4,407,694
237,882",,,"4,407,694
237,882"
,,,,,,"36,243",,,"36,243"
,,,,,,-,,,-
,,,,,,"4,681,819",,,"4,681,819"
,,,,,,"1,658,506
94,903",,,"1,658,506
94,903"
,,,,,,"1,006,546",,,"1,133,396"
,,,,,,"2,759,954",,,"2,886,805"
,,,,,,"1,921,865",,,"1,795,014"
,,,,,,"27,667",,,"27,667"
,,,,,,"69,496",,,"112,564"
,,,,,,"30,947",,,"30,947"
,,,,,,-,,,-
,,,,,,"71,423",,,"426,834"
,,,,,,"199,533",,,"598,012"
,,,,,,"2,121,398",,,"2,393,026"
,,,,,,"357,150",,,"357,150"
,,,,,,"608,508",,,"932,456"
,,,,,,"7,228",,,"8,344"
,,,,,,"86,577",,,"86,577"
,,,,,,"126,486",,,"126,748"
,,,,,,"145,150
881,922
2,213,021",,,"145,194
1,059,189
2,715,658"
,,,,,,"(91,623)
-",,,"(322,632)
(3,013)"
,,,,,,"(91,623)",,,"(325,645)"
,,,,,,-,,,"(6,372)"
,,,,,,-,,,-
,,,,,,"(91,623)",,,"(332,017)"
,,,,,,-,,,-
,,,,,,"60,987
-
-",,,"60,987
-
-"
,,,,,,"(18,296)",,,"(18,296)"
,,,,,,"42,691
(48,932)",,,"42,691
(289,326)"
,,,,,,"(24.43)
25.00",,,"(1.15)
-"
