"Loan
balance",Current,"Non-
current","Interest
rate",Issue date,"Maturity
date"
Shs’ 000,Shs’ 000,Shs’ 000,,,
"1,309,819","1,309,819",-,4.321%,24 July 2017,"1 October
2026"
"527,691","527,691",-,9.29%,"28 December
2015","31 January
2026"
"1,024,480","1,024,480",-,14.41%,"01 February
2021","01 February
2028"
"1,061,566","136,497","925,069",5.00%,"31 March
2021","31 March
2028"
"246,700","246,700",-,7.25%,"23 December
2016","23 December
2024"
"147,501","84,824","62,677",9.27%,5 March 2018,"23 December
2028"
"4,317,757","3,330,011","987,746",,,
