Board meetings attendance for the year ended 31 December 2024,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
Date,08.03.24,03.04.24,27.05.24,12.08.24,13.09.24,14.10.24,11.11.24,14.11.24,18.12.24,Total
Prof. Olive M. Mugenda,,,,,,,,,x,8/9
Dr. Benson I. Wairegi,,,,,,,,,,9/9
Ms. Felister W. Kembi,,,,,,,,,,9/9
Mr. Tom M. Gitogo,,,,,,,,,,9/9
Dr. Anthony O. Omerikwa,,,x,,,x,,,,7/9
Dr. Anne W. Kimari,,x,,,,,,,,8/9
Dr. Peter K. Munga,x,x,,x,,,,,,6/9
Mr. Robert N. Kibaara,,,,,,,,,,9/9
