"Item
No.",Resolutions:,For,Against,Withheld
5),"In accordance with the provisions of Section 769 of the
Companies Act, 2015 the following Directors, being
members of the Group Board Audit & Risk Committee be
elected individually to continue to serve as members of the
said Committee:-",,,
,• Ms. Felister W. Kembi,,,
,• Dr. Anthony Omerikwa Opare,,,
,• Dr. Anne W. Kimari,,,
6),"To approve the Directors Remuneration Report as detailed in
the Annual Report for the year ended 31st December 2023.",,,
7),"To appoint PricewaterhouseCoopers (PWC) Kenya as the
auditors of the Company in accordance with Sections 721
of the Companies Act, No. 17 of 2015 and to authorize the
Directors to fix the remuneration of the auditors in terms of
section 724 of the said Companies Act.",,,
