Column,"2020
Shs’000",Column,"2020
Shs’000",Column
,"1,154,842",,"56,441",
,"1,102",,5,
,"71,219",,107,
,"1,227,163","1,078,236","56,553","119,941"
Average number of employees,456,479,1,4
